id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
42Y6p0Kc3suygNBwWklv2T,Baby Criminal,2nAKP6etu8wXNnezKXgqgg,Viagra Boys,2IC2TP7bnwkfl56vjabLQt,Cave World,2022-07-08,279.605,spotify:track:42Y6p0Kc3suygNBwWklv2T,0
7q53QRZ2Tdk3zcs8Ue67DV,Empty Kingdom,22OfTwWAZCFEoblae5MsvR,Silent Monolith,5C5PKzeZ114SwIMQKV7AXM,Empty Kingdom,2022-07-16,244.333,spotify:track:7q53QRZ2Tdk3zcs8Ue67DV,1
1w2DEorfquOgL92UTc9Oec,Human Capital,781vvvQYKgDjg3i90b7vtV,Bad Breeding,50e9l0RpAg583vCVlUsCOm,Human Capital,2022-07-08,286.888,spotify:track:1w2DEorfquOgL92UTc9Oec,2
03H21hhaJ4jQZiJUxvxpbD,Into the Fire,7uKoxJsvfOjGnzn1GIWQ3G,ASOMVEL,1iSWoxs4gzbS1GKg0uotIg,Into the Fire,2022-02-18,193.41,spotify:track:03H21hhaJ4jQZiJUxvxpbD,3
7AyllcfefWI33hVIg6x9Q1,Necrobionics,1vbr39xw4sKFUOiogA0DWN,Undeath,5pL9YDRmrXWNPEJGKiYUXs,It's Time...To Rise from the Grave,2022-04-22,211.267,spotify:track:7AyllcfefWI33hVIg6x9Q1,4
039LjnW10JKYN3kfEo4wZ0,Cold & Distant,3jmqk617nnjalSiZUCaaBi,Hangman's Chair,0cVHeZCI9YO7zovnvacfhy,A Loner,2022-02-11,309.293,spotify:track:039LjnW10JKYN3kfEo4wZ0,5
5I83dKPmLXKpeyCWYVkDdw,F*ck My Anxiety,5IhRC86twNb6XePyW4i05E,STAKE,3uOaDRKRilIlyyv06e38ho,"LOVE, DEATH and DECAY",2022-09-30,216.24,spotify:track:5I83dKPmLXKpeyCWYVkDdw,6
235IZurAgYuVOElnIXlqdB,PMS,32rI2a65NqHEnTAewmPNEC,Voice of Baceprot,5s29PCqC9DrkdRtyLHDZX3,PMS,2022-11-02,211.334,spotify:track:235IZurAgYuVOElnIXlqdB,7
273Be3yr2GWJM4YRA1eRxK,Crescent Horn,6LTyTOIhMplVisnE1CLR5a,Bastard,1F9bGER1ceaBX9qRLFkSru,Rotten Blood,2022-03-11,243.7,spotify:track:273Be3yr2GWJM4YRA1eRxK,8
6RW7abeDBvFCuhxPLWklW3,Comatose,3utxjLheHaVEd9bPjQRsy8,Coheed and Cambria,5YRtvIMApwxnUTcWUBcaON,Vaxis II: A Window of the Waking Mind,2022-06-24,190.431,spotify:track:6RW7abeDBvFCuhxPLWklW3,9
3irkZrFRdtIgc9xmbb95In,Cloaked,3uHCTHxtg3IVAvhyrYsZvI,Rolo Tomassi,3821HxVYaIwRA9DLfo8GHa,Where Myth Becomes Memory,2022-02-04,234.955,spotify:track:3irkZrFRdtIgc9xmbb95In,10
6P6h9RdPJxPWqFqpLFIYA9,The Wolf You Feed (feat. Alissa White-Gluz),73GhYkwfPQzmfJb1cdPqPf,Nita Strauss,0RldApXzFEBMTvPetGTIcF,The Wolf You Feed (feat. Alissa White-Gluz),2022-10-25,234.0,spotify:track:6P6h9RdPJxPWqFqpLFIYA9,11
3cFstfrvlhDTF7QwNnJaSn,Viva Las Vegas,30U8fYtiNpeA5KH6H87QUV,Dead Kennedys,193bYwZs05GxfqbNB3grF0,Fresh Fruit For Rotting Vegetables,1980,162.293,spotify:track:3cFstfrvlhDTF7QwNnJaSn,12
0vAGa3Ff6KUEKx2HSIBTWn,Ritual Violence,5tgfw6rEJrNKXFkzIa0reH,Arsena,1m9qfXz3dKoCQh6HlKNpWp,Blood Rusted Mother Earth,2022-09-09,356.928,spotify:track:0vAGa3Ff6KUEKx2HSIBTWn,13
579tXkS7NeS8rH35CjMVOD,World Full Of,3m7JHlRsZs6jkvzWAnkyuq,Life's Question,3szSSG9C1WEMUPdkukrybl,World Full Of...,2022-08-08,341.49,spotify:track:579tXkS7NeS8rH35CjMVOD,14
3mN6aSMBoCtsYfEi7qqgh9,No Taste,5HdFFzzKumvVRK4bAzpdwF,School Drugs,5Z2qww7FTTRQwkVDUQcjzR,Absolution,2022-08-26,66.058,spotify:track:3mN6aSMBoCtsYfEi7qqgh9,15
2daoDEsF06ULueoH2eGhIg,Immortal (feat. Mike McCready),6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,4u1LXToDGOdhDDf4c9zeqb,Patient Number 9,2022-09-09,183.967,spotify:track:2daoDEsF06ULueoH2eGhIg,16
3ROQcr0U4X4qeS2qm5Ha7T,God Only Knows,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,4u1LXToDGOdhDDf4c9zeqb,Patient Number 9,2022-09-09,300.656,spotify:track:3ROQcr0U4X4qeS2qm5Ha7T,17
7MEIGXWygVzK6Ihxp3kotD,Broken,5HdFFzzKumvVRK4bAzpdwF,School Drugs,5Z2qww7FTTRQwkVDUQcjzR,Absolution,2022-08-26,65.565,spotify:track:7MEIGXWygVzK6Ihxp3kotD,18
