id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
28Z4IeW9azaCyVMQpJtyp7,Lost Meaning,2lP34R0Q7edlojuJrUMPnj,Cloakroom,0XABQZMWdLKgGfpFcsmBjR,Dissolution Wave,2022-01-28,271.978,spotify:track:28Z4IeW9azaCyVMQpJtyp7,0
6Gyfnh212BLrBpIwjnXYIh,Imposter Syndrome,1tK28YnQJ6edBujubs7FXo,Whores,4l0JAsTXAZyERJR2h7O6z6,Imposter Syndrome,2022-03-01,244.915,spotify:track:6Gyfnh212BLrBpIwjnXYIh,1
1ncl5OvSGPeQvbI4uNF6iV,I Close My Eyes so I Can See,5C9ocrDvsfSz8qcxG70QEe,Sylvaine,3Bx01WCfpuiY5OfHskn5Kz,Nova,2022-03-04,314.631,spotify:track:1ncl5OvSGPeQvbI4uNF6iV,2
31P6mBeSiLy3kIOrxnRpwq,Digerliden,4KBxK8PodYKpYBpN6ewwmQ,Besvärjelsen,0zCEjOIs9FZPuHsSTSioIx,Digerliden,2022-03-04,282.293,spotify:track:31P6mBeSiLy3kIOrxnRpwq,3
1uMcy6dDlrQby1nD6xwKOw,Satanic Slumber Party Part 2 (Midnight In Sodom),0mL6LBSQ4bHe6hWq90KzHL,Tropical Fuck Storm,2xRTFyydYap0kAWPfJwU2i,Satanic Slumber Party,2022-03-14,342.551,spotify:track:1uMcy6dDlrQby1nD6xwKOw,4
5OW7KWn4omULRak20rzuNx,From Second Sight,1LNgvz72fQVLe7ZNIw6Ipo,Satan,4aUhvTjR9sxW2NIqyczsba,From Second Sight,2022-03-11,222.115,spotify:track:5OW7KWn4omULRak20rzuNx,5
33AIUV05GZnow3MTZ8V7zh,Steelbound,2eOmJMVlhgac2iA8V2fR4W,Greyhawk,4mtNZLDpGmNqmrGOvVjG4z,Call of the Hawk,2022-02-08,250.932,spotify:track:33AIUV05GZnow3MTZ8V7zh,6
53bqV8I1QeWPBfLSTlP0Ok,Fun's Over,6q4AmzK3GzCuEzkurnYuEQ,Drug Church,7o7dfudZfiankIzcfXXamT,Hygiene,2022-03-11,112.8,spotify:track:53bqV8I1QeWPBfLSTlP0Ok,7
0l9QPYg6TpbYA6fgXaYmRc,Leaves,6STFxYSH5FFYqNuJSNHqgP,Children of the Sün,3LIDGjqIJ1E9YwabMjuu13,Roots,2022-03-18,227.586,spotify:track:0l9QPYg6TpbYA6fgXaYmRc,8
4b0wjv60XIaqokGzv1euDM,The Trident,6MjCnAA9RF0vy3j6QYyLG0,Nite,1rsMO1bwVlUhaZi7jvnEnA,Voices of the Kronian Moon,2022-03-25,262.965,spotify:track:4b0wjv60XIaqokGzv1euDM,9
7dBxjNPea3y3uZC6C05hq5,Little Fix,27nD8P491xX8UzG3j01eIY,Sprints,0IZwGu5IVwpP4b6aCDs3zp,A Modern Job EP,2022-03-11,196.0,spotify:track:7dBxjNPea3y3uZC6C05hq5,10
0qD3xKbjC9lFotRUK2J8mE,Blood Moon,6mEohczxsctzkEIU0WAeWD,Christian Death,6HxWMjAq1qIJCEld2VEiTB,Blood Moon,2022-02-10,213.92,spotify:track:0qD3xKbjC9lFotRUK2J8mE,11
4xNYaeAZZFTgqY0iJJDb8C,Silent She Comes,2t0cSfnr9wpvAspXuYBuuT,Deathbell,1ls1cb0pn4VGEZp80eIHbp,A Nocturnal Crossing,2022-02-25,278.952,spotify:track:4xNYaeAZZFTgqY0iJJDb8C,12
2oSRCwRM9PEo4vJ5DGpQr4,Overstimulate,1Pb13vLDNqpaXI88U9t6JG,Chastity,0bQNLzwiW9RBH77MkGNp6k,Suffer Summer,2022-01-13,217.706,spotify:track:2oSRCwRM9PEo4vJ5DGpQr4,13
0mtLEQz6qt3PDrJd5nYpCl,Praise No Bliss,5Bt0klpQtEMLXb0n2bCq85,Bastardane,4jDPK3KTbxsIUCE4uA4xhC,Is This Rage?,2022-03-12,344.242,spotify:track:0mtLEQz6qt3PDrJd5nYpCl,14
7ijc00jczCa64YbJNO14eb,In Your Face,0dD18OLw7WRlZlBu9ZDmSH,Grima,2cyico36AkIDio01bFMpry,A Ver Ahora,2022-03-23,192.461,spotify:track:7ijc00jczCa64YbJNO14eb,15
6RBwhxL28i63ZwluSirl9d,Total,0Zy4ncr8h1jd7Nzr9946fD,Killing Joke,5Urcd0CgxOwChJzrJnanIo,Lord Of Chaos,2022-03-25,264.287,spotify:track:6RBwhxL28i63ZwluSirl9d,16
2VWrUXWBRCYdBXP1jp3m3t,Party March,2mkGbwg4uYaUlmQDZpga27,Stöner,4NRrqKhvRUQnINIPY8mikL,Party March,2022-03-17,232.146,spotify:track:2VWrUXWBRCYdBXP1jp3m3t,17
3HX0YoAMG2aKL0NQn5HjLY,Altamira,144tOsApwFr8IORHSxLqLq,Mammoth Weed Wizard Bastard,1ctS55Z8IGbCgWvz9ymiPE,The Harvest,2022-03-25,464.148,spotify:track:3HX0YoAMG2aKL0NQn5HjLY,18
740y38LGyr6gNETQSlKRoW,Delia Smith,27nD8P491xX8UzG3j01eIY,Sprints,0IZwGu5IVwpP4b6aCDs3zp,A Modern Job EP,2022-03-11,219.0,spotify:track:740y38LGyr6gNETQSlKRoW,19
2dlbhtMreIf5X9bMPMrhn9,What Would You Do,05C3EDw4Rf0qMhrdjFKncL,Fucked Up,39NLIYLEjLnvA3N9wF9slF,Do All Words Can Do,2022-03-25,171.093,spotify:track:2dlbhtMreIf5X9bMPMrhn9,20
4cj9oqXwEDaXOADJw9clMc,Wake Up Dead,3JFsVIxOn7STeilPICkkB2,Lamb of God,6P0dS26zzxkYkxDFiLSrre,Wake Up Dead,2022-04-01,223.413,spotify:track:4cj9oqXwEDaXOADJw9clMc,21
0CXIg7Mdn6Mn5ApZB87k7R,For The Last Time,6V6MyDcytW48stIykhH937,Skull Fist,7kotciioesojvM4kwMH5uR,For The Last Time,2022-03-31,241.786,spotify:track:0CXIg7Mdn6Mn5ApZB87k7R,22
4DCtTtWYJLP3UD2s9Km0Ee,Grave Dive,2Ah9OuOj7B57gPD1cbwiaE,Municipal Waste,5D6o12XKVSm9arPgSFefgV,Grave Dive,2022-04-01,151.08,spotify:track:4DCtTtWYJLP3UD2s9Km0Ee,23
6I5GhdPNr0Zjy7NmkSdXmX,PUPTHEBAND Inc. Is Filing For Bankruptcy,6A7uqgC2N1nUhrCLAytHxN,PUP,2bRpK0BpzYUQZYIzri35n6,THE UNRAVELING OF PUPTHEBAND,2022-04-01,185.133,spotify:track:6I5GhdPNr0Zjy7NmkSdXmX,24
7I9BzQO7K9xOX7nLMcpu1p,Windows of Your Heart,7Iej5Kqi4cLAuZZ66dGt3H,Haunt,61iHfo2p97CuOnyAzisXPF,Windows of Your Heart,2022-04-01,222.4,spotify:track:7I9BzQO7K9xOX7nLMcpu1p,25
0Y8h0hAViB7tu93jt3GWPJ,Dust,5RoqynWCL6FbO5LdipoFU1,Wolf,3XChH0deyZy39f2ntkqG96,Shadowland,2022-04-01,282.893,spotify:track:0Y8h0hAViB7tu93jt3GWPJ,26
5sXfifFZFfC9L3nG7Z0UdF,Edge of the Night,6MjCnAA9RF0vy3j6QYyLG0,Nite,5gZwLUmvkRFGjSOlmG7UhI,Edge of the Night,2022-02-16,303.448,spotify:track:5sXfifFZFfC9L3nG7Z0UdF,27
0jKXK6sFUveDhURsXt2MWF,Hissing in Crescendo,4bMhBA9z2oB9MixiL9OXCx,Evil Invaders,5NkcJCyn7G9CTnXPPakprm,Shattering Reflection,2022-04-01,265.64,spotify:track:0jKXK6sFUveDhURsXt2MWF,28
0BlIn5VuwfIu7Hd34jB2ur,Blinded by a Blaze,5m2NwwPj4pzGQC0PQwMBWi,Cave In,3uOGqQ1fEzYaRN0iU7xNEl,Blinded by a Blaze,2022-04-05,459.182,spotify:track:0BlIn5VuwfIu7Hd34jB2ur,29
0m4TZR8abPcRJfTQ7BdZcc,Logic Bomb,144tOsApwFr8IORHSxLqLq,Mammoth Weed Wizard Bastard,1ctS55Z8IGbCgWvz9ymiPE,The Harvest,2022-03-25,469.623,spotify:track:0m4TZR8abPcRJfTQ7BdZcc,30
