id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset
10VKxzvtP2nnpDNlt9VzmF,Beast Vision,"14TybdraZ1mixyPmP4gjj8,2qD61usRMV5pB6jAbSSXxi","Steel Project,Ripper",4cp18yhtTJp4hi6DvFFwQI,Beast Vision,2023-01-06,256.883,spotify:track:10VKxzvtP2nnpDNlt9VzmF,0
2pRatK6tRaabghfX0SYT0P,Operation Phoenix,5H2DFNCrBR3OSr4AJn3U2O,Crowne,05UVAzd0INqNiBwwBtNPlN,Operation Phoenix,2023-01-05,355.357,spotify:track:2pRatK6tRaabghfX0SYT0P,1
7mN0DC6ctLO1GhkoUgrjHZ,Jingle Doubt - instrumental,3PsLxyLABzuf3dUMpS05Mp,Processor,3GWEn4ullbTmikKaFSZiZX,Jingle Doubt,2022-12-16,191.489,spotify:track:7mN0DC6ctLO1GhkoUgrjHZ,2
13WFXzUDLXaGhVzMKBRXAi,Black Sabbath,7FhkwcO8Jd7BRWdllBpXBJ,Rotting Christ,2nXluKf0mwjMBIKxTW1EOa,"The Apocryphal Spells, Vol. II",2022-12-15,361.036,spotify:track:13WFXzUDLXaGhVzMKBRXAi,3
2CkpD7gqMXrrpTCJ9TZ0bw,The Serpent and the Rainbow,"1VPmR4DJC1PlOtd0IADAO0,4OYIkXBBN6ET96coWyWAXh","$uicideboy$,Germ",7mxSvZIgElLmVTdUfVNQFz,DIRTIESTNASTIEST$UICIDE,2022-12-16,177.289,spotify:track:2CkpD7gqMXrrpTCJ9TZ0bw,4
2JOJbznO8EKV8anIBGfv7w,Eating Emeralds,1s32niwuZQOoGNcwUTIaSC,A Pregnant Light,6rvbmTsMDIzEixNSazUb4a,Eating Emeralds / Threshold Angel,2022-12-16,225.971,spotify:track:2JOJbznO8EKV8anIBGfv7w,5
4pIEmQfdzrcJR6bQCEvZau,Machine Organism,7qxYCk41GtTm8KDOwqM980,Abandoncy,4gPuUF0zkCJ53ZA0KMzBal,Split,2023-01-06,106.066,spotify:track:4pIEmQfdzrcJR6bQCEvZau,6
0R55DciBoVWWUV594XYc2j,A Few Words for Love,14M2CyExjuwWrJlJGYvg6T,Akiavel,23MilzM0eWMStXn0rI85Jh,Veni Vidi Vici,2022-12-23,184.946,spotify:track:0R55DciBoVWWUV594XYc2j,7
4wBT4adP38uZaEJDe7V22Y,Wasting Away,1v9AHBkWnChK6jhYOtDGr6,An Absence Of Colour,76USqQjXD6ZVFbqUQkd0kX,Wasting Away,2023-01-01,204.233,spotify:track:4wBT4adP38uZaEJDe7V22Y,8
02oYJAw0Kmvy6UtdxFr2YI,Fake my Death,"3ok1L4A5TZ0kC6ZJXx7M3E,6TVtKZAEITKzwJIK7uMY2k","Ancient Radiations,Softeyes",6izbvgWLR8nN4RzzQ2Ep8A,Separation Anxiety,2022-12-10,263.111,spotify:track:02oYJAw0Kmvy6UtdxFr2YI,9
6jOOdgTvymsHiXJVlYVB3Z,My Brother,20dX1he8lmbvJuiHO15cYE,Apart From Me,4FHxa05ZlEUTnsu98B5a2O,Apart From Me,2022-12-09,230.0,spotify:track:6jOOdgTvymsHiXJVlYVB3Z,10
0QSOC0waja1MQr4qM6WWGu,Mi Legado,2FeoaGBKEpEpjHZjz39GZZ,Arcano Boreal,52iayMyxZQdHs0Yma1amEZ,Mi Legado,2023-01-06,236.645,spotify:track:0QSOC0waja1MQr4qM6WWGu,11
6e8Scq3yPrpCpnSUjLJsgF,Ghoul - Live,3h6F7NaadGF3Ayf3FJBjdR,BRIDEAR,5A7yUh8MvhXIhwY0RCygeB,Ghoul (Live),2023-01-06,299.99,spotify:track:6e8Scq3yPrpCpnSUjLJsgF,12
