id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
42Y6p0Kc3suygNBwWklv2T,Baby Criminal,2nAKP6etu8wXNnezKXgqgg,Viagra Boys,2IC2TP7bnwkfl56vjabLQt,Cave World,2022-07-08,279.605,spotify:track:42Y6p0Kc3suygNBwWklv2T,0,0.000322,0.396,0.966,0.000155,0.582,-2.335,0.0816,132.366,0.455
5J9PWfWEFc7a21pgWt6PkK,Cliffhanger,75lXMXjUfNNbrBz6auGvvG,Escuela Grind,06DSoRQ46K2LWqI0Gi2OG8,Cliffhanger,2022-07-07,156.401,spotify:track:5J9PWfWEFc7a21pgWt6PkK,1,3.27e-06,0.198,0.9,0.0767,0.812,-5.07,0.0958,126.027,0.23
1M3wFXBkd6itXvqzxQkgFz,Arcadian,"7o6QC2VBbILo6qlaEpKE7x,4yiJ7efMG6Z8w8AU2jri2j","Thumos,spaceseer",0R235VNq82Dd82THo7JjdZ,The Course of Empire,2022-07-04,501.333,spotify:track:1M3wFXBkd6itXvqzxQkgFz,2,6.85e-05,0.293,0.987,0.719,0.399,-8.369,0.168,134.987,0.0365
7BnAiL2Oh5jROTy2DIfzXG,Devotion,5OwQGVEXMAy9L3rgYhedvg,Obsidious,1NxMqAlEEt0LhMFplBaji2,Devotion,2022-07-28,298.549,spotify:track:7BnAiL2Oh5jROTy2DIfzXG,3,0.00114,0.502,0.941,0.0,0.0457,-5.349,0.083,105.048,0.366
0wMsnJgY82QHiB0gQn6UAE,Eden Will Drown,4MnX5gyPiIWEjQzvX54I8p,END,3ibVio0A4V0qNhUiscjFjR,Eden Will Drown,2022-07-07,192.36,spotify:track:0wMsnJgY82QHiB0gQn6UAE,4,6.71e-05,0.205,0.96,8.5e-05,0.707,-4.493,0.186,96.582,0.102
0fUUjF2hmFp9i71qHl9li8,Ataraxis,6WCWkB4bGX2HDsoyQb6KyL,Cult Leader,3ibVio0A4V0qNhUiscjFjR,Eden Will Drown,2022-07-07,113.706,spotify:track:0fUUjF2hmFp9i71qHl9li8,5,2.27e-06,0.117,0.962,0.365,0.333,-4.93,0.188,179.963,0.134
166Qya8pfMXeq9kCQG5src,Teutonic Storm (2021),3rHTxH2it9i3O73UQbnMvM,Traitor,0tkgyipQ3jjwI2UVGVDDuT,Exiled To The Surface,2022-07-08,255.294,spotify:track:166Qya8pfMXeq9kCQG5src,6,2.02e-06,0.201,0.982,0.00462,0.0991,-3.476,0.0547,101.989,0.194
15rzwcnr5ZRaRF7xQjg9Wd,The Great Heathen Army,3pulcT2wt7FEG10lQlqDJL,Amon Amarth,2Ge7U7lz8QrfTEI9RmBEhc,The Great Heathen Army,2022-07-07,244.693,spotify:track:15rzwcnr5ZRaRF7xQjg9Wd,7,0.00269,0.4,0.985,0.00125,0.188,-7.286,0.0623,200.035,0.506
4CpHKEt5cEbzB5GiYVYisQ,Glass Shards,3vMnvW7u5207ATyxTQIxNz,Wormrot,6XfFWtshKIYvwjI6qAqR8m,Hiss,2022-07-08,268.546,spotify:track:4CpHKEt5cEbzB5GiYVYisQ,8,2.94e-06,0.157,0.985,0.893,0.218,-6.158,0.209,170.182,0.0376
4EvnCtFvBGmsyGPsiP3U6V,Hyperventilating - Live,16fltNcwTM5V9rnxIlcha4,Voyager,0kWqo2QejGzQKgRxtxRm3E,Hyperventilating (Live),2022-07-28,417.24,spotify:track:4EvnCtFvBGmsyGPsiP3U6V,9,0.000224,0.335,0.839,0.0152,0.471,-11.633,0.0501,123.024,0.266
27sxPKoaaU1Vw36QNbaTS7,Mantle,1wXoI3Ajpv4WwQ3LmcrSBw,Gaerea,4ee2hn78MoHvkKIcAUF1Cf,Mantle,2022-07-27,316.602,spotify:track:27sxPKoaaU1Vw36QNbaTS7,10,5.54e-05,0.185,0.831,0.277,0.154,-3.386,0.088,110.083,0.0469
4FlCPXk0dmmxbB1MI4g0rc,Crystalline Telasthesia,5RoqQDYxGgKhlDoB0q21Ok,CANDELABRUM,1afTcJOyxyMgC84YC4kfcH,Nocturnal Trance,2022-04-29,554.0,spotify:track:4FlCPXk0dmmxbB1MI4g0rc,11,0.0122,0.147,0.726,0.0121,0.298,-2.664,0.0748,135.968,0.0401
1U78yCvp4SaGTQJycQlb0J,North Metal Legion,2Rs3MsF2y8VfkjmOVHkT5N,Second To Sun,62sz8jO6up98deM4t8PYS4,North Metal Legion,2022-07-07,345.6,spotify:track:1U78yCvp4SaGTQJycQlb0J,12,1.12e-06,0.323,0.982,0.953,0.267,-4.337,0.107,99.947,0.0366
2raeBuRcIU8oXXxM6UVziC,Rise of the Trinity,1vDFKivJsGreOJhC7aYLus,Defacing God,5ZLM63l1rXL8CQtL50kVyb,Rise of the Trinity,2022-07-06,278.386,spotify:track:2raeBuRcIU8oXXxM6UVziC,13,3.86e-06,0.421,0.986,0.608,0.118,-6.371,0.0602,110.035,0.0621
0QZK6ro1NBS83upcJkNJpO,Sight,2Ev0s3CG4Oz7MJvqpQzHWw,Rioghan,0PH2f3zm3rBL8d95LshCG4,Sight,2022-06-16,309.24,spotify:track:0QZK6ro1NBS83upcJkNJpO,14,0.00692,0.514,0.637,0.0977,0.0918,-8.496,0.0332,120.015,0.161
6GAzULIZpLN3EUxRumxmrG,Supacool,"6qkLxKSrr2ms5uAN4OEWGH,0GBYlnXBzFnCGiaH6dLb6j,75d7yw7uji4CkfzktFZih3,7pwjGKaqnfkvS7eQbHaqyH,2GlcSk2WAAQTsQ77jWzqNh,2sWlkS8e1W3kuMWfahW26w","Dj coco,Supaman,Vodka,Sparks,BxdDie bang,Thato",1VJMVnYH1AvmF0ssZwzc4Z,Supacool,2022-07-21,431.124,spotify:track:6GAzULIZpLN3EUxRumxmrG,15,0.0928,0.866,0.394,0.00302,0.0532,-13.376,0.103,110.997,0.293
2uuJs2nltcYFh9pkKP7bW4,Show Me,2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,261LWEVYViMXijB95mAty3,2000,2022-07-22,220.386,spotify:track:2uuJs2nltcYFh9pkKP7bW4,16,0.222,0.599,0.646,4.36e-06,0.128,-6.326,0.337,176.153,0.638
2sOwaTHl42XTB8wn9lk4by,Abyss,7oTWrSAsrqQnBE1LRUBZPE,SRSQ,5xn3iRleMthyqHeMVrhgaN,Abyss,2022-07-19,425.002,spotify:track:2sOwaTHl42XTB8wn9lk4by,17,0.0118,0.274,0.455,0.0163,0.15,-7.329,0.0299,155.121,0.0633
6XUTYsoLpi9xt0qZs0xi1l,Abyssal,2PjNHHntGArPkRST2Ipgik,Acephalix,5tbUjJTdRw4i1yZLuP4ajx,Abyssal,2022-07-19,229.293,spotify:track:6XUTYsoLpi9xt0qZs0xi1l,18,3.29e-06,0.314,0.992,0.499,0.128,-4.658,0.139,165.05,0.202
3zsmEoryUbJC80VXTxz6CP,All Flowers in Time,"3v9hkdHUrX788NVKB8sijb,4gfOoXI9MWCyREzvqNv38D","Gloria de Oliveira,Dean Hurley",71NTMTAhRjZVcqFBTJBNKr,All Flowers in Time,2022-07-19,215.841,spotify:track:3zsmEoryUbJC80VXTxz6CP,19,0.112,0.379,0.555,0.195,0.193,-9.813,0.0275,148.055,0.17
3esPbOa0aIQbEbxDAnYSnO,Ancestor,"11EAP8MX0cfrW9lzkK424H,1Lwi01HS3nSZxM9u9zr3CT","Wolfheart,Jesse Leach",7fdV64GdS4DaWwr8TBL4Ku,Ancestor,2022-07-20,283.241,spotify:track:3esPbOa0aIQbEbxDAnYSnO,20,0.000168,0.173,0.98,0.00728,0.374,-4.685,0.112,97.566,0.0354
6DdgRHXV6hH3XqSOiFd8pw,Angel,6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson,1PaOqZ0lsw4FDOhTHq2cum,Angel,2022-07-16,161.927,spotify:track:6DdgRHXV6hH3XqSOiFd8pw,21,0.0156,0.809,0.479,0.903,0.0977,-12.274,0.452,82.994,0.625
65jOD2RMAErYoB1rGUOoLz,(Not) Enough,5byg90wTxATnhB6kK253DF,Fight The Fade,4n1Y8Djpo0xnuhuPWcKYbR,APOPHYSITIS,2022-07-22,262.5,spotify:track:65jOD2RMAErYoB1rGUOoLz,22,0.000249,0.451,0.92,0.00136,0.163,-4.754,0.0823,139.976,0.212
1lPdVGhYGvE9RiWQ5zB7lI,As We Live (feat. Tim Armstrong & Rhoda Dakar),"25Maank76ry2Tmbi2Ql1SF,7v3ZMFl1E6X4isdEaOSnk3,28q3NuNiFoeWa1UVdbNzOH","The Interrupters,Tim Armstrong,Rhoda Dakar",4V0dVPKKUWESWe45QHkT86,As We Live (feat. Tim Armstrong & Rhoda Dakar),2022-07-19,172.463,spotify:track:1lPdVGhYGvE9RiWQ5zB7lI,23,0.00525,0.563,0.931,0.0,0.412,-1.725,0.0513,150.015,0.878
4f9wZnCSBGGWZtu5d2ewLq,A Treatise Of Human Nature,"4K8ETf2R1Gs7fz5y21CTTN,2ncoyqmXEVSYUk7KON8ubM","Moonshade,Sandra Oliveira",1y4HmKB1cudGKzuPs7nrdi,As We Set The Skies Ablaze,2022-07-22,194.785,spotify:track:4f9wZnCSBGGWZtu5d2ewLq,24,0.000411,0.475,0.859,0.0111,0.208,-5.028,0.0378,139.993,0.307
4EQF3NftgNsIOQxtKLAmEB,Barberryans,0gZTdTYGI2ABqOENQ31u5e,Berried Alive,4pitfRktK2odzFCkRk6kkG,Barberryans,2022-07-22,243.774,spotify:track:4EQF3NftgNsIOQxtKLAmEB,25,0.0061,0.343,0.947,1.2e-05,0.0926,-4.326,0.391,134.98,0.166
