2023-01-08 23:48:37,400 INFO    MainThread:32692 [wandb_setup.py:_flush():68] Configure stats pid to 32692
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_setup.py:_flush():68] Loading settings from C:\Users\opben\.config\wandb\settings
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_setup.py:_flush():68] Loading settings from c:\Users\opben\OneDrive\Documents\Esh Release Radar\wandb\settings
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_init.py:_log_setup():476] Logging user logs to c:\Users\opben\OneDrive\Documents\Esh Release Radar\wandb\run-20230108_234837-121ifz4z\logs\debug.log
2023-01-08 23:48:37,401 INFO    MainThread:32692 [wandb_init.py:_log_setup():477] Logging internal logs to c:\Users\opben\OneDrive\Documents\Esh Release Radar\wandb\run-20230108_234837-121ifz4z\logs\debug-internal.log
2023-01-08 23:48:37,402 INFO    MainThread:32692 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002BC7DCEB880>
2023-01-08 23:48:37,402 INFO    MainThread:32692 [wandb_init.py:init():516] calling init triggers
2023-01-08 23:48:37,402 INFO    MainThread:32692 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-08 23:48:37,402 INFO    MainThread:32692 [wandb_init.py:init():569] starting backend
2023-01-08 23:48:37,402 INFO    MainThread:32692 [wandb_init.py:init():573] setting up manager
2023-01-08 23:48:37,406 INFO    MainThread:32692 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2023-01-08 23:48:37,410 INFO    MainThread:32692 [wandb_init.py:init():580] backend started and connected
2023-01-08 23:48:37,413 INFO    MainThread:32692 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2023-01-08 23:48:37,413 INFO    MainThread:32692 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-08 23:48:37,413 INFO    MainThread:32692 [wandb_init.py:init():658] updated telemetry
2023-01-08 23:48:37,476 INFO    MainThread:32692 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-08 23:48:38,851 INFO    MainThread:32692 [wandb_run.py:_on_init():2006] communicating current version
2023-01-08 23:48:39,619 INFO    MainThread:32692 [wandb_run.py:_on_init():2010] got version response 
2023-01-08 23:48:39,619 INFO    MainThread:32692 [wandb_init.py:init():728] starting run threads in backend
2023-01-08 23:48:39,807 INFO    MainThread:32692 [wandb_run.py:_console_start():1986] atexit reg
2023-01-08 23:48:39,807 INFO    MainThread:32692 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-08 23:48:39,807 INFO    MainThread:32692 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-08 23:48:39,807 INFO    MainThread:32692 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-08 23:48:39,808 INFO    MainThread:32692 [wandb_init.py:init():765] run started, returning control to user process
2023-01-08 23:48:39,809 INFO    MainThread:32692 [wandb_config.py:__setitem__():155] config set architecture = Random forests,StratSplit,Identity - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002BC7E20CF10>>
2023-01-08 23:48:39,809 INFO    MainThread:32692 [wandb_run.py:_config_callback():1163] config_cb architecture Random forests,StratSplit,Identity None
2023-01-08 23:48:42,516 INFO    MainThread:32692 [wandb_run.py:_finish():1753] finishing run opbenesh/esh-release-radar/121ifz4z
2023-01-08 23:48:42,517 ERROR   MainThread:32692 [jupyter.py:save_history():440] Run pip install nbformat to save notebook history
2023-01-08 23:48:42,517 INFO    MainThread:32692 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-01-08 23:48:42,517 INFO    MainThread:32692 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2023-01-08 23:48:42,517 INFO    MainThread:32692 [wandb_run.py:_atexit_cleanup():1955] got exitcode: 0
2023-01-08 23:48:42,518 INFO    MainThread:32692 [wandb_run.py:_restore():1938] restore
2023-01-08 23:48:42,518 INFO    MainThread:32692 [wandb_run.py:_restore():1944] restore done
2023-01-08 23:48:47,919 INFO    MainThread:32692 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2023-01-08 23:48:47,920 INFO    MainThread:32692 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2023-01-08 23:48:47,929 INFO    MainThread:32692 [wandb_run.py:_footer_sync_info():3364] logging synced files
